,BILL OF MATERIALS,,,,,,,,,,,,,,,
,PRODUCT NAME,RIO,,,,,,,,,,,,,,
,APPROVED BY,,,,,,,,,,,,,,,
,DATE OF APPROVAL,27 May 2024,,,,,,,,,,,,,,
,PART COUNT,1,,,,,,,,,,,,,,
,TOTAL COST," ₹ 14,406.40 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,PART NUMBER,PART NAME,DESCRIPTION,Store,QUANTITY,LINK,PART IMAGE,UNIT COST,AMOUNT,,,,,,,
,1,Dc-motors with encoders,TT MOTOR N20,Robu,2,link,#UNKNOWN!, ₹ 470.00 , ₹ 940.00 ,,,,,,,
,2,wheels,65mm Rubber Tyre Wheel for BO Motors,Robu,2,link,#UNKNOWN!, ₹ 75.00 , ₹ 150.00 ,,,,,,,
,3,caster wheels,30mm dia and 37mm height ,Robu,1,link,#UNKNOWN!, ₹ 47.00 , ₹ 47.00 ,,,,,,,
,4,pcb,custom pcb,Robu,1,link,, ₹ 300.00 , ₹ 300.00 ,,,,,,,
,5,battery,7.4v 2500mah 3c liion,Robu,1,link,#UNKNOWN!, ₹ 519.00 , ₹ 519.00 ,,,,,,,
,6,Charger,8.4v 1amp charger,Robu,1,link,#UNKNOWN!, ₹ 579.00 , ₹ 579.00 ,,,,,,,
,7,Chassis,laser Cutting parts,local,1,,, ₹ 300.00 , ₹ 300.00 ,,,,,,,
,8,Mobile mount,TECHONTO 360° Degree Cell Phone Holder with Adjustable Clamp,amazon,1,link,#UNKNOWN!, ₹ 195.00 , ₹ 195.00 ,,,,,,,
,9,Mobile Ball joint ,"Universal 1/4"" Screw Swivel Ball Head Tripod Mount 360° Rotation Heavy Metal Mount Base ",amazon,1,link,#UNKNOWN!, ₹ 199.00 , ₹ 199.00 ,,,,,,,
,10,"Screw 1/4"" ","Long Screw 1/4"" Camera Body/Tripod/Bracket Male & Female Threads",amazon,1,link,#UNKNOWN!, ₹ 87.50 , ₹ 87.50 ,,,,,,,
,11,rgb led,ws2812b led breakout board,Robu,2,link,#UNKNOWN!, ₹ 15.00 , ₹ 30.00 ,,,,,,,
,12,Standoff MF Plastic M3,30mm,Robu,4,link,#UNKNOWN!, ₹ 8.00 , ₹ 32.00 ,,,,,,,
,13,Standoff MF Plastic M3,15mm,Robu,4,link,#UNKNOWN!, ₹ 6.00 , ₹ 24.00 ,,,,,,,
,14,Standoff MF Plastic M3,10mm,Robu,4,link,#UNKNOWN!, ₹ 6.00 , ₹ 24.00 ,,,,,,,
,15,M3 Bolt phillips,6mm,omrook,8,link,#UNKNOWN!, ₹ 0.60 , ₹ 4.80 ,,,,,,,
,16,M3 Bolt phillips,10mm,omrook,12,link,#UNKNOWN!, ₹ 0.70 , ₹ 8.40 ,,,,,,,
,17,M2.5 Bolt phillips,12mm,omrook,8,link,#UNKNOWN!, ₹ 0.60 , ₹ 4.80 ,,,,,,,
,18,M3 nuts,nylock,omrook,20,link,#UNKNOWN!, ₹ 1.20 , ₹ 24.00 ,,,,,,,
,19,screw driver,2 in 1,omrook,1,link,#UNKNOWN!, ₹ 43.00 , ₹ 43.00 ,,,,,,,
,20,3d parts,,,6,,, ₹ 10.00 , ₹ 60.00 ,,,,,,,
,21,hcsr04,with i2c,Robu,1,link,#UNKNOWN!, ₹ 60.00 , ₹ 60.00 ,,,,,,,
,22,sg90 servo,,Robu,1,link,#UNKNOWN!, ₹ 146.00 , ₹ 146.00 ,,,,,,,
,23,hcsr04 holder,Abs with r logo,Robu,1,link,#UNKNOWN!, ₹ 50.00 , ₹ 50.00 ,,,,,,,
,24,JST xh 2 pin,30cm single side Female,Sunrom,2,link,#UNKNOWN!, ₹ 4.72 , ₹ 9.44 ,,,,,,,
,25,JST xh 3 pin,30cm single side Female,Sunrom,3,link,#UNKNOWN!, ₹ 7.50 , ₹ 22.50 ,,,,,,,
,26,JST xh 4 pin,30cm single side Female,Sunrom,3,link,#UNKNOWN!, ₹ 10.00 , ₹ 30.00 ,,,,,,,
,27,Lidar RP A1m8,SLAMTECH RPLIDAR A1m8,Robu,1,link,#UNKNOWN!," ₹ 8,500.00 "," ₹ 8,500.00 ",,,,,,,
,28,Servo Horn,Aluminum Servo Horn/Arm 25T Round type Disc MG995 MG996,Robu,2,link,#UNKNOWN!, ₹ 40.00 , ₹ 80.00 ,,,,,,,
,29,Mg996,Metal gear 180deg,Robu,2,link,#UNKNOWN!, ₹ 310.00 , ₹ 620.00 ,,,,,,,
,30,Gymbal,Servo Mount Brackets For MG995 MG996 Servo Motor,Robu,1,link,#UNKNOWN!, ₹ 182.00 , ₹ 182.00 ,,,,,,,
,31,3d parts,,,1,,, ₹ 30.00 , ₹ 30.00 ,,,,,,,
,32,22uF Capacitor,0805,Ktron,5,link,, ₹ 2.36 , ₹ 11.80 ,,,,,,,
,33,100nF,0603,Sunrom,6,link,, ₹ 0.90 , ₹ 5.40 ,,,,,,,
,34,1uF,0603,Sunrom,2,link,, ₹ 1.00 , ₹ 2.00 ,,,,,,,
,35,100uF,Elctr 6.3x7.7,Sunrom,3,link,, ₹ 7.50 , ₹ 22.50 ,,,,,,,
,36,220uF,Electr 8x10.5,Sunrom,2,link,, ₹ 10.00 , ₹ 20.00 ,,,,,,,
,37,ss12,SMA,Sunrom,1,link,, ₹ 1.50 , ₹ 1.50 ,,,,,,,
,38,BAT760-7,SMA,Sunrom,1,link,,, ₹ -   ,,,,,,,
,39,ss34,SMA,Sunrom,2,link,, ₹ 3.25 , ₹ 6.50 ,,,,,,,
,40,USB-C 16pin,16pin male Connector,Ktron,1,link,, ₹ 5.55 , ₹ 5.55 ,,,,,,,
,41,JST XH 2Pin right angle male connector,P2.5 S2B THT,Sunrom,2,link,, ₹ 2.36 , ₹ 4.72 ,,,,,,,
,42,JST XH 3Pin right angle male connector,P2.5 S3B THT,Sunrom,3,link,, ₹ 3.54 , ₹ 10.62 ,,,,,,,
,43,JST XH 4Pin right angle male connector,P2.5 S4B THT,Sunrom,3,link,, ₹ 4.72 , ₹ 14.16 ,,,,,,,
,44,JST GH 7Pin right angle male connector,P1.25 1x7 side entry SMD,Sunrom,1,link,, ₹ 18.59 , ₹ 18.59 ,,,,,,,
,45,Barrel jack male,5.5x2.1mm,Sunrom,1,link,, ₹ 14.25 , ₹ 14.25 ,,,,,,,
,46,4.7uH Inductor,7mm,Sunrom,1,link,, ₹ 29.50 , ₹ 29.50 ,,,,,,,
,47,47uH Inductor,12mm,Sunrom,2,link,, ₹ 33.04 , ₹ 66.08 ,,,,,,,
,48,S8050,SOT23-3,Sunrom,2,link,, ₹ 2.75 , ₹ 5.50 ,,,,,,,
,49,10K,0603,Sunrom,12,link,, ₹ 0.40 , ₹ 4.80 ,,,,,,,
,50,62K,0603,Sunrom,1,link,, ₹ 0.40 , ₹ 0.40 ,,,,,,,
,51,3.3K,0603,Sunrom,1,link,, ₹ 0.40 , ₹ 0.40 ,,,,,,,
,52,470R,0603,Sunrom,2,link,, ₹ 0.40 , ₹ 0.80 ,,,,,,,
,53,1K,0603,Sunrom,2,link,, ₹ 0.40 , ₹ 0.80 ,,,,,,,
,54,20K,0603,Sunrom,1,link,, ₹ 0.40 , ₹ 0.40 ,,,,,,,
,55,Switch tactile,3x4x2mm SMD 2-Pin,Sunrom,2,link,, ₹ 12.00 , ₹ 24.00 ,,,,,,,
,56,MT3608,SOT23-6 SMD 12V,Sunrom,1,link,, ₹ 28.00 , ₹ 28.00 ,,,,,,,
,57,LM2596-5,SOT-263-5 fixed 5v,Sunrom,2,link,, ₹ 60.00 , ₹ 120.00 ,,,,,,,
,58,ESP32 wroom 32 D,,Ktron,1,link,, ₹ 335.00 , ₹ 335.00 ,,,,,,,
,59,AMS117 3.3v,SOT-223-3,Sunrom,1,link,, ₹ 9.25 , ₹ 9.25 ,,,,,,,
,60,CH340C,SOIC-16,Ktron,1,link,, ₹ 42.00 , ₹ 42.00 ,,,,,,,
,#SPILL!,L293DD,SOIC-12 SMD,Inkocean,1,link,, ₹ 100.44 , ₹ 100.44 ,,,,,,,
,,Packing,,,1,,, ₹ 200.00 , ₹ 200.00 ,,,,with lidar Gymbal, Sonar Model,gymbal only,lidar only
,,,TOTAL PARTS,,166,,, TOTAL ," ₹ 14,406.40 ",,,," ₹ 14,406.40 ","₹ 5,024.40", ₹ 912.00 ," ₹ 8,500.00 "
